Date_Fk,Qte,StockActuel
2016-10-10,,11.880434782608695
2016-10-11,,20.77181208053691
2016-10-12,,11.712041884816754
2016-10-13,,10.193103448275862
2016-10-14,,18.58951965065502
2016-10-17,,10.45
2016-10-18,,12.139896373056995
2016-10-19,,60.898395721925134
2016-10-20,,8.00361010830325
2016-10-21,,10.704225352112676
2016-10-22,,6.615384615384615
2016-10-24,,10.753894080996885
2016-10-25,,27.48
2016-10-26,,6.875
2016-10-27,,8.060913705583756
2016-10-28,,11.013824884792626
2016-10-29,,6.793577981651376
2016-10-30,,119.42335766423358
2016-10-31,,6.11864406779661
2016-11-10,,24.58011049723757
2016-11-11,,18.375
2016-11-12,,7.591397849462366
2016-11-14,,63.22222222222222
2016-11-15,,11.03111111111111
2016-11-16,,9.803921568627452
2016-11-17,,8.873134328358208
2016-11-18,,11.17117117117117
2016-11-19,,4.72
2016-11-21,,6.933333333333334
2016-11-22,,9.325301204819278
2016-11-23,,9.724264705882353
2016-11-24,,33.38775510204081
2016-11-25,,14.720306513409962
2016-11-26,,11.454545454545455
2016-11-27,,7.700507614213198
2016-11-28,,5.509615384615385
2016-11-29,,137.8
2016-11-30,,18.874074074074073
2016-12-10,,10.76086956521739
2016-12-13,,7.10752688172043
2016-12-14,,11.235
2016-12-15,,7.241071428571429
2016-12-16,,14.475336322869955
2016-12-17,,11.864864864864865
2016-12-19,,7.617283950617284
2016-12-20,,10.73394495412844
2016-12-21,,9.012422360248447
2016-12-22,,11.336
2016-12-23,,8.89516129032258
2016-12-24,,13.09375
2016-12-25,,12.263803680981596
2016-12-26,,10.350515463917526
2016-12-27,,7.944805194805195
2016-12-28,,18.338983050847457
2016-12-29,,10.78688524590164
2016-12-30,,9.942857142857143
2016-12-31,,12.239520958083832
